"NO","PACKAGING TYPE","PO NO.","ITEM NO.","BRAND","BATERY TYPE","CELL GRADE","ITEM REMARK 1","REMARK","DESTINATION","ORDER QTY","CR DATE","CURRENCY","PRICE","SALES AMOUNT","CR MONTH","SALES MONTH","TERM","STANDARD PRICE","STOCK WAREHOUSE","STOCK IN TRANSIT","JAN QTY","JAN AMT","FEB QTY","FEB AMT","MAR QTY","MAR AMT","APR QTY","APR AMT","MAY QTY","MAY AMT","JUN QTY","JUN AMT","JUL QTY","JUL AMT","AUG QTY","AUG AMT","SEP QTY","SEP AMT","OCT QTY","OCT AMT","NOV AMT","NOV AMT","DES AMT","DES AMT"
"52","AUTO SHRINK LR6 (2S)","'FIFJ/1713","69190","FJ LONGLIFE JEE LR6 2S","LR6","C1","03. Domestic B to B","DOMESTIC OEM - FUJITSU GENERAL","0","15200","27-APR-18","US$","0.0937","1424.24","4","4","FOB","0","0","0","0","0","0","0","0","0","15,200","1,424","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"53","AUTO SHRINK LR6 (2S)","'FITK/18-025","69190","FJ LONGLIFE JEE LR6 2S","LR6","C1","03. Domestic B to B","DOMESTIC OEM - FUJITSU GENERAL","0","30000","29-MAR-18","US$","0.0937","2811","3","4","FOB","0","0","30,000","0","0","0","0","30,000","2,811","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"54","AUTO SHRINK LR6 (2S)","'FIFJ/1710","69190","FJ LONGLIFE JEE LR6 2S","LR6","C1","03. Domestic B to B","DOMESTIC OEM - FUJITSU GENERAL","0","32800","29-MAR-18","US$","0.0937","3073.36","3","4","FOB","0","0","32,800","0","0","0","0","32,800","3,073","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"55","AUTO SHRINK LR6 (2S)","'FIFJ/1714","69190","FJ LONGLIFE JEE LR6 2S","LR6","C1","03. Domestic B to B","DOMESTIC OEM - FUJITSU GENERAL","0","13600","17-MAY-18","US$","0.0937","1274.32","5","5","FOB","0","0","0","0","0","0","0","0","0","13,600","1,274","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"56","AUTO SHRINK LR6 (2S)","'FIFJ/1715","69190","FJ LONGLIFE JEE LR6 2S","LR6","C1","03. Domestic B to B","DOMESTIC OEM - FUJITSU GENERAL","0","9600","31-MAY-18","US$","0.0937","899.52","5","6","FOB","0","0","0","0","0","0","0","0","0","9,600","900","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"57","AUTO SHRINK LR6 (2S)","'FITK/18-004","90170","FUJITSU E1 LR6 2S","LR6","C1","03. Domestic B to B","OVERSEAS OEM - RHYTHM","0","20000","02-FEB-18","US$","0.09","1800","2","2","FOB","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"58","AUTO SHRINK LR6 (2S)","'FITK/18-012","90170","FUJITSU E1 LR6 2S","LR6","C1","03. Domestic B to B","OVERSEAS OEM - WELLPOWER","0","70000","15-FEB-18","US$","0.09","6300","2","2","FOB","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"59","AUTO SHRINK LR6 (2S)","'FITK/18-023","90170","FUJITSU E1 LR6 2S","LR6","C1","03. Domestic B to B","OVERSEAS OEM - RHYTHM","0","20000","10-MAR-18","US$","0.09","1800","3","3","FOB","0","0","0","0","0","0","0","20,000","1,800","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"60","AUTO SHRINK LR6 (2S)","'FITK/18-026","90170","FUJITSU E1 LR6 2S","LR6","C1","03. Domestic B to B","OVERSEAS OEM - RHYTHM","0","20000","21-FEB-18","US$","0.09","1800","2","2","FOB","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"61","AUTO SHRINK LR6 (2S)","'FITK/18-026","90170","FUJITSU E1 LR6 2S","LR6","C1","03. Domestic B to B","OVERSEAS OEM - RHYTHM","0","40000","21-FEB-18","US$","0.09","3600","2","2","FOB","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"62","AUTO SHRINK LR6 (2S)","'FITK/18-027","90170","FUJITSU E1 LR6 2S","LR6","C1","03. Domestic B to B","OVERSEAS OEM - RHYTHM","0","40000","10-MAR-18","US$","0.09","3600","3","3","FOB","0","0","0","0","0","0","0","40,000","3,600","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"63","AUTO SHRINK LR6 (2S)","'FITK/18-042","90170","FUJITSU E1 LR6 2S","LR6","C1","03. Domestic B to B","OVERSEAS OEM - RHYTHM","0","40000","19-APR-18","US$","0.09","3600","4","4","FOB","0","0","0","0","0","0","0","0","0","40,000","3,600","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"64","AUTO SHRINK LR6 (2S)","'FITK/18-059","90170","FUJITSU E1 LR6 2S","LR6","C1","03. Domestic B to B","","0","20000","16-APR-18","US$","0.09","1800","4","4","FOB","0","0","0","0","0","0","0","0","0","20,000","1,800","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"65","AUTO SHRINK LR6 (2S)","'FITK/18-040","90170","FUJITSU E1 LR6 2S","LR6","C1","03. Domestic B to B","OVERSEAS OEM - RHYTHM","0","40000","29-MAR-18","US$","0.09","3600","3","4","FOB","0","0","40,000","0","0","0","0","28,800","2,592","11,200","1,008","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"66","AUTO SHRINK LR6 (2S)","'FITK/18-060","90170","FUJITSU E1 LR6 2S","LR6","C1","03. Domestic B to B","","0","20000","14-MAY-18","US$","0.09","1800","5","5","FOB","0","0","0","0","0","0","0","0","0","20,000","1,800","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"67","AUTO SHRINK LR6 (2S)","'FITK/18-043","90170","FUJITSU E1 LR6 2S","LR6","C1","03. Domestic B to B","OVERSEAS OEM - WELLPOWER","0","65200","08-APR-18","US$","0.09","5868","4","4","FOB","0","0","0","0","0","0","0","0","0","65,200","5,868","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"68","AUTO SHRINK LR6 (2S)","'FITK/18-056","90170","FUJITSU E1 LR6 2S","LR6","C1","03. Domestic B to B","OVERSEAS OEM - RHYTHM","0","20000","11-APR-18","US$","0.09","1800","4","4","FOB","0","0","0","0","0","0","0","0","0","20,000","1,800","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"69","AUTO SHRINK LR6 (2S)","'FITK/18-041","90170","FUJITSU E1 LR6 2S","LR6","C1","03. Domestic B to B","OVERSEAS OEM - RHYTHM","0","40000","08-APR-18","US$","0.09","3600","4","4","FOB","0","0","0","0","0","0","0","0","0","40,000","3,600","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
